stateAbbrev,countyName,FIPS,totalVotes,VAP,state,turnoutPerc,nNonVote,percFromMean
AL,Autauga County,01001,24973.0,40690.0,Alabama,61.373801916932905,15717.0,5.873801916932905
AL,Baldwin County,01003,95215.0,151770.0,Alabama,62.736377413191015,56555.0,7.236377413191015
AL,Barbour County,01005,10469.0,20375.0,Alabama,51.38159509202453,9906.0,-4.118404907975467
AL,Bibb County,01007,8819.0,17590.0,Alabama,50.13644115974986,8771.0,-5.363558840250143
AL,Blount County,01009,25588.0,42430.0,Alabama,60.306386990337025,16842.0,4.806386990337025
AL,Bullock County,01011,4710.0,8195.0,Alabama,57.474069554606466,3485.0,1.9740695546064657
AL,Butler County,01013,8732.0,15425.0,Alabama,56.60940032414911,6693.0,1.1094003241491066
AL,Calhoun County,01015,47864.0,88525.0,Alabama,54.06834227619317,40661.0,-1.431657723806829
AL,Chambers County,01017,13900.0,26480.0,Alabama,52.49244712990937,12580.0,-3.0075528700906276
AL,Cherokee County,01019,10733.0,20505.0,Alabama,52.34333089490369,9772.0,-3.156669105096313
AL,Chilton County,01021,18369.0,31555.0,Alabama,58.21264458881318,13186.0,2.712644588813177
AL,Choctaw County,01023,7292.0,10515.0,Alabama,69.34854969091774,3223.0,13.848549690917736
AL,Clarke County,01025,13031.0,19195.0,Alabama,67.88747069549362,6164.0,12.387470695493619
AL,Clay County,01027,6624.0,10360.0,Alabama,63.938223938223935,3736.0,8.438223938223935
AL,Cleburne County,01029,6593.0,11295.0,Alabama,58.370960602036305,4702.0,2.8709606020363054
AL,Coffee County,01031,20767.0,37955.0,Alabama,54.714793834804375,17188.0,-0.7852061651956248
AL,Colbert County,01033,24915.0,42235.0,Alabama,58.99135787853675,17320.0,3.4913578785367534
AL,Conecuh County,01035,6585.0,9825.0,Alabama,67.02290076335878,3240.0,11.522900763358777
AL,Coosa County,01037,5252.0,8755.0,Alabama,59.988577955454026,3503.0,4.488577955454026
AL,Covington County,01039,15940.0,29295.0,Alabama,54.41201570233828,13355.0,-1.0879842976617198
AL,Crenshaw County,01041,6267.0,10535.0,Alabama,59.48742287612719,4268.0,3.987422876127191
AL,Cullman County,01043,37873.0,61625.0,Alabama,61.45720081135902,23752.0,5.957200811359023
AL,Dale County,01045,18749.0,37405.0,Alabama,50.12431493115893,18656.0,-5.375685068841072
AL,Dallas County,01047,18792.0,30615.0,Alabama,61.38167564919157,11823.0,5.881675649191571
AL,DeKalb County,01049,25826.0,49580.0,Alabama,52.08955223880597,23754.0,-3.4104477611940283
AL,Elmore County,01051,37260.0,61485.0,Alabama,60.60014637716517,24225.0,5.100146377165167
AL,Escambia County,01053,14845.0,29330.0,Alabama,50.61370610296625,14485.0,-4.886293897033752
AL,Etowah County,01055,44164.0,78780.0,Alabama,56.05991368367606,34616.0,0.5599136836760579
AL,Fayette County,01057,8249.0,13155.0,Alabama,62.706195362979855,4906.0,7.206195362979855
AL,Franklin County,01059,12040.0,21935.0,Alabama,54.88944609072259,9895.0,-0.6105539092774066
AL,Geneva County,01061,11758.0,20515.0,Alabama,57.31416037046064,8757.0,1.814160370460641
AL,Greene County,01063,4880.0,6595.0,Alabama,73.99545109931766,1715.0,18.495451099317663
AL,Hale County,01065,8040.0,11565.0,Alabama,69.52010376134889,3525.0,14.020103761348892
AL,Henry County,01067,8072.0,13335.0,Alabama,60.53243344581928,5263.0,5.032433445819279
AL,Houston County,01069,42639.0,78085.0,Alabama,54.605878209643336,35446.0,-0.8941217903566638
AL,Jackson County,01071,20984.0,40730.0,Alabama,51.51976430149767,19746.0,-3.9802356985023266
AL,Jefferson County,01073,304191.0,491015.0,Alabama,61.95146787776341,186824.0,6.451467877763413
AL,Lamar County,01075,6966.0,10960.0,Alabama,63.558394160583944,3994.0,8.058394160583944
AL,Lauderdale County,01077,39525.0,72735.0,Alabama,54.34110125799134,33210.0,-1.1588987420086596
AL,Lawrence County,01079,14829.0,25995.0,Alabama,57.045585689555686,11166.0,1.5455856895556863
AL,Lee County,01081,59191.0,115345.0,Alabama,51.316485326628815,56154.0,-4.183514673371185
AL,Limestone County,01083,40294.0,67250.0,Alabama,59.916728624535324,26956.0,4.416728624535324
AL,Lowndes County,01085,6684.0,8100.0,Alabama,82.51851851851852,1416.0,27.01851851851852
AL,Macon County,01087,9140.0,16035.0,Alabama,57.00031181789835,6895.0,1.5003118178983499
AL,Madison County,01089,163389.0,261510.0,Alabama,62.47906389813009,98121.0,6.979063898130093
AL,Marengo County,01091,10994.0,15310.0,Alabama,71.8092749836708,4316.0,16.309274983670804
AL,Marion County,01093,12984.0,23725.0,Alabama,54.72708113804005,10741.0,-0.7729188619599512
AL,Marshall County,01095,35316.0,65925.0,Alabama,53.569965870307165,30609.0,-1.9300341296928352
AL,Mobile County,01097,172737.0,308975.0,Alabama,55.906464924346636,136238.0,0.4064649243466363
AL,Monroe County,01099,10271.0,16820.0,Alabama,61.06420927467301,6549.0,5.564209274673011
AL,Montgomery County,01101,95878.0,168750.0,Alabama,56.8165925925926,72872.0,1.316592592592599
AL,Morgan County,01103,50644.0,88065.0,Alabama,57.50752285243854,37421.0,2.007522852438541
AL,Perry County,01105,5278.0,7625.0,Alabama,69.21967213114753,2347.0,13.719672131147533
AL,Pickens County,01107,9542.0,15585.0,Alabama,61.225537375681746,6043.0,5.725537375681746
AL,Pike County,01109,13168.0,25630.0,Alabama,51.37729223566133,12462.0,-4.122707764338671
AL,Randolph County,01111,10187.0,17375.0,Alabama,58.63021582733813,7188.0,3.1302158273381266
AL,Russell County,01113,19256.0,43135.0,Alabama,44.64124261040918,23879.0,-10.85875738959082
AL,St. Clair County,01115,38400.0,65815.0,Alabama,58.345361999544174,27415.0,2.845361999544174
AL,Shelby County,01117,101254.0,149210.0,Alabama,67.86006299845855,47956.0,12.360062998458545
AL,Sumter County,01119,6411.0,10390.0,Alabama,61.703561116458125,3979.0,6.2035611164581255
AL,Talladega County,01121,33407.0,62160.0,Alabama,53.743564993564995,28753.0,-1.7564350064350052
AL,Tallapoosa County,01123,19486.0,31945.0,Alabama,60.99859132884645,12459.0,5.498591328846452
AL,Tuscaloosa County,01125,82700.0,155400.0,Alabama,53.217503217503214,72700.0,-2.2824967824967857
AL,Walker County,01127,29472.0,50325.0,Alabama,58.563338301043224,20853.0,3.063338301043224
AL,Washington County,01129,8533.0,12865.0,Alabama,66.32724446171784,4332.0,10.82724446171784
